Time,Dist,Vel,RawX,RawY,PredX,PredY,Yaw,Pitch,Found
0.051,80.00,-0.05,320.0,290.00,320.2,290.00,0.00,-0.50,1
0.102,79.95,-0.05,320.1,289.98,320.3,289.98,0.05,-0.50,1
0.153,79.90,-0.05,320.2,289.96,320.4,289.96,0.10,-0.49,1
0.204,79.85,-0.05,320.3,289.94,320.5,289.94,0.15,-0.49,1
0.255,79.80,-0.05,320.4,289.92,320.6,289.92,0.20,-0.49,1
0.306,79.75,-0.05,320.5,289.90,320.7,289.90,0.25,-0.49,1
0.357,79.70,-0.05,320.6,289.88,320.8,289.88,0.30,-0.48,1
0.408,79.65,-0.05,320.7,289.86,320.9,289.86,0.35,-0.48,1
0.459,79.60,-0.05,320.8,289.84,321.0,289.84,0.40,-0.48,1
0.510,79.55,-0.05,320.9,289.82,321.1,289.82,0.45,-0.47,1
0.561,79.50,-0.05,321.0,289.80,321.2,289.80,0.50,-0.47,1
0.612,79.45,-0.05,321.1,289.78,321.3,289.78,0.55,-0.46,1
0.663,79.40,-0.05,321.2,289.76,321.4,289.76,0.60,-0.46,1
0.714,79.35,-0.05,321.3,289.74,321.5,289.74,0.65,-0.46,1
0.765,79.30,-0.05,321.4,289.72,321.6,289.72,0.70,-0.45,1
0.816,79.25,-0.05,321.5,289.70,321.7,289.70,0.75,-0.45,1
0.867,79.20,-0.05,321.6,289.68,321.8,289.68,0.80,-0.45,1
0.918,79.15,-0.05,321.7,289.66,321.9,289.66,0.85,-0.44,1
0.969,79.10,-0.05,321.8,289.64,322.0,289.64,0.90,-0.44,1
1.020,79.05,-0.05,321.9,289.62,322.1,289.62,0.95,-0.44,1
1.071,79.00,-0.05,322.0,289.60,322.2,289.60,1.00,-0.43,1
1.122,78.95,-0.05,322.1,289.58,322.3,289.58,1.05,-0.43,1
1.173,78.90,-0.05,322.2,289.56,322.4,289.56,1.10,-0.43,1
1.224,78.85,-0.05,322.3,289.54,322.5,289.54,1.15,-0.42,1
1.275,78.80,-0.05,322.4,289.52,322.6,289.52,1.20,-0.42,1
1.326,78.75,-0.05,322.5,289.50,322.7,289.50,1.25,-0.42,1
1.377,78.70,-0.05,322.6,289.48,322.8,289.48,1.30,-0.41,1
1.428,78.65,-0.05,322.7,289.46,322.9,289.46,1.35,-0.41,1
1.479,78.60,-0.05,322.8,289.44,323.0,289.44,1.40,-0.41,1
1.530,78.55,-0.05,322.9,289.42,323.1,289.42,1.45,-0.40,1
1.581,78.50,-0.05,323.0,289.40,323.2,289.40,1.50,-0.40,1
1.632,78.45,-0.05,323.1,289.38,323.3,289.38,1.55,-0.40,1
1.683,78.40,-0.05,323.2,289.36,323.4,289.36,1.60,-0.39,1
1.734,78.35,-0.05,323.3,289.34,323.5,289.34,1.65,-0.39,1
1.785,78.30,-0.05,323.4,289.32,323.6,289.32,1.70,-0.39,1
1.836,78.25,-0.05,323.5,289.30,323.7,289.30,1.75,-0.38,1
1.887,78.20,-0.05,323.6,289.28,323.8,289.28,1.80,-0.38,1
1.938,78.15,-0.05,323.7,289.26,323.9,289.26,1.85,-0.38,1
1.989,78.10,-0.05,323.8,289.24,324.0,289.24,1.90,-0.37,1
2.040,78.05,-0.05,323.9,289.22,324.1,289.22,1.95,-0.37,1
2.091,78.00,-0.05,324.0,289.20,324.2,289.20,2.00,-0.37,1
2.142,77.95,-0.05,324.1,289.18,324.3,289.18,2.05,-0.36,1
2.193,77.90,-0.05,324.2,289.16,324.4,289.16,2.10,-0.36,1
2.244,77.85,-0.05,324.3,289.14,324.5,289.14,2.15,-0.36,1
2.295,77.80,-0.05,324.4,289.12,324.6,289.12,2.20,-0.35,1
2.346,77.75,-0.05,324.5,289.10,324.7,289.10,2.25,-0.35,1
2.397,77.70,-0.05,324.6,289.08,324.8,289.08,2.30,-0.35,1
2.448,77.65,-0.05,324.7,289.06,324.9,289.06,2.35,-0.34,1
2.499,77.60,-0.05,324.8,289.04,325.0,289.04,2.40,-0.34,1
2.550,77.55,-0.05,324.9,289.02,325.1,289.02,2.45,-0.34,1
2.601,77.50,-0.05,325.0,289.00,325.2,289.00,2.50,-0.33,1
2.652,77.45,-0.05,325.1,288.98,325.3,288.98,2.55,-0.33,1
2.703,77.40,-0.05,325.2,288.96,325.4,288.96,2.60,-0.33,1
2.754,77.35,-0.05,325.3,288.94,325.5,288.94,2.65,-0.32,1
2.805,77.30,-0.05,325.4,288.92,325.6,288.92,2.70,-0.32,1
2.856,77.25,-0.05,325.5,288.90,325.7,288.90,2.75,-0.32,1
2.907,77.20,-0.05,325.6,288.88,325.8,288.88,2.80,-0.31,1
2.958,77.15,-0.05,325.7,288.86,325.9,288.86,2.85,-0.31,1
3.009,77.10,-0.05,325.8,288.84,326.0,288.84,2.90,-0.31,1
